order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-05 1247,UNIT_YARD_MOVE,LOAD,EXPRT,WFHU1405770,Y-TSCT-1A1305.1,1A1305.1,Y-TSCT-Q02,1AA13,R312,T-HBFT7403-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,18100,V-XINX_03A-030206,1A,13,5,1,V-XINX_03A,3,2,6,1
1,25-03-05 1250,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1508678,Y-TSCT-1A1303.1,1A1303.1,Y-TSCT-Q02,1AA13,R312,T-TJC97981-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,28890,V-XINX_03A-030884,1A,13,3,1,V-XINX_03A,3,8,84,1
2,25-03-05 0458,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1501117,Y-TSCT-1A1902.3,1A1902.3,Y-TSCT-Q02,1AA19,R312,T-TJC55609-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,24950,V-XINX_03A-110806,1A,19,2,3,V-XINX_03A,11,8,6,1
3,25-03-05 0503,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1420191,Y-TSCT-1A1907.5,1A1907.5,Y-TSCT-Q02,1AA19,R312,T-TJCG8315-3 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,29300,V-XINX_03A-090302,1A,19,7,5,V-XINX_03A,9,3,2,1
4,25-03-05 0515,UNIT_YARD_MOVE,LOAD,EXPRT,GWSU5001607,Y-TSCT-1A1907.4,1A1907.4,Y-TSCT-Q02,1AA19,R312,T-TJCK2959-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,29180,V-XINX_03A-090202,1A,19,7,4,V-XINX_03A,9,2,2,1
5,25-03-05 0517,UNIT_YARD_MOVE,LOAD,EXPRT,DWSU3000466,Y-TSCT-1A1906.4,1A1906.4,Y-TSCT-Q02,1AA19,R312,T-TJC75735-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,26000,V-XINX_03A-110202,1A,19,6,4,V-XINX_03A,11,2,2,1
6,25-03-05 0519,UNIT_YARD_MOVE,LOAD,EXPRT,WFHU1430900,Y-TSCT-1A1907.3,1A1907.3,Y-TSCT-Q02,1AA19,R312,T-TJCK2690-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,27348,V-XINX_03A-090504,1A,19,7,3,V-XINX_03A,9,5,4,1
7,25-03-05 0521,UNIT_YARD_MOVE,LOAD,EXPRT,PHRU2200641,Y-TSCT-1A1906.3,1A1906.3,Y-TSCT-Q02,1AA19,R312,T-TJCK0112-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,27288,V-XINX_03A-110504,1A,19,6,3,V-XINX_03A,11,5,4,1
8,25-03-05 0523,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3534520,Y-TSCT-1A1907.2,1A1907.2,Y-TSCT-Q02,1AA19,R312,T-TJCK6336-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,28800,V-XINX_03A-090104,1A,19,7,2,V-XINX_03A,9,1,4,1
9,25-03-05 0525,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2140271,Y-TSCT-1A1906.2,1A1906.2,Y-TSCT-Q02,1AA19,R312,T-TJCK6016-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,24975,V-XINX_03A-110104,1A,19,6,2,V-XINX_03A,11,1,4,1
10,25-03-05 0532,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2028081,Y-TSCT-1A1906.1,1A1906.1,Y-TSCT-Q02,1AA19,R312,T-HBFN6679-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22440,V-XINX_03A-110404,1A,19,6,1,V-XINX_03A,11,4,4,1
11,25-03-05 0718,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2123720,Y-TSCT-1A1904.5,1A1904.5,Y-TSCT-Q01,1AA19,R312,T-TJC75972-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22240,V-XINX_03A-130502,1A,19,4,5,V-XINX_03A,13,5,2,1
12,25-03-05 1006,UNIT_YARD_MOVE,LOAD,EXPRT,FYCU7091262,Y-TSCT-1A1904.4,1A1904.4,Y-TSCT-Q02,1AA19,R312,T-TJCB7290-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22140,V-XINX_03A-130102,1A,19,4,4,V-XINX_03A,13,1,2,1
13,25-03-05 1010,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2146829,Y-TSCT-1A1904.3,1A1904.3,Y-TSCT-Q02,1AA19,R312,T-TJCX1870-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22544,V-XINX_03A-130402,1A,19,4,3,V-XINX_03A,13,4,2,1
14,25-03-05 1016,UNIT_YARD_MOVE,LOAD,EXPRT,VPLU3104957,Y-TSCT-1A1904.2,1A1904.2,Y-TSCT-Q02,1AA19,R312,T-TJC97333-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22240,V-XINX_03A-130704,1A,19,4,2,V-XINX_03A,13,7,4,1
15,25-03-05 1018,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1422933,Y-TSCT-1A1903.2,1A1903.2,Y-TSCT-Q02,1AA19,R312,T-TJC97333-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,24360,V-XINX_03A-150704,1A,19,3,2,V-XINX_03A,15,7,4,1
16,25-03-05 1026,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2443279,Y-TSCT-1A1903.1,1A1903.1,Y-TSCT-Q02,1AA19,R312,T-TJC79130-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22018,V-XINX_03A-150304,1A,19,3,1,V-XINX_03A,15,3,4,1
17,25-03-05 1028,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2971750,Y-TSCT-1A1902.2,1A1902.2,Y-TSCT-Q02,1AA19,R312,T-TJCB7290-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,24900,V-XINX_03A-130104,1A,19,2,2,V-XINX_03A,13,1,4,1
18,25-03-05 1035,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1118176,Y-TSCT-1A1905.5,1A1905.5,Y-TSCT-Q02,1AA19,R312,T-TJC19282-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,17575,V-XINX_03A-130404,1A,19,5,5,V-XINX_03A,13,4,4,1
19,25-03-05 1037,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1960097,Y-TSCT-1A1905.4,1A1905.4,Y-TSCT-Q02,1AA19,R312,T-TJC97605-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,17455,V-XINX_03A-150404,1A,19,5,4,V-XINX_03A,15,4,4,1
20,25-03-05 1042,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1530310,Y-TSCT-1A1905.1,1A1905.1,Y-TSCT-Q02,1AA19,R312,T-TJCE2298-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,15120,V-XINX_03A-130804,1A,19,5,1,V-XINX_03A,13,8,4,1
21,25-03-05 1044,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1968159,Y-TSCT-1A1907.1,1A1907.1,Y-TSCT-Q02,1AA19,R312,T-TJCA2536-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,17455,V-XINX_03A-130604,1A,19,7,1,V-XINX_03A,13,6,4,1
22,25-03-05 1046,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU3193893,Y-TSCT-1A1906.1,1A1906.1,Y-TSCT-Q02,1AA19,R312,T-TJC85951-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,18214,V-XINX_03A-150604,1A,19,6,1,V-XINX_03A,15,6,4,1
23,25-03-05 1211,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2023053,Y-TSCT-1A1911.4,1A1911.4,Y-TSCT-Q02,1AA19,R312,T-HBFN6628-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,24694,V-XINX_03A-070304,1A,19,11,4,V-XINX_03A,7,3,4,1
24,25-03-05 1213,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2360311,Y-TSCT-1A1911.3,1A1911.3,Y-TSCT-Q02,1AA19,R312,T-HBFN6622-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,24644,V-XINX_03A-070404,1A,19,11,3,V-XINX_03A,7,4,4,1
25,25-03-05 1215,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1108460,Y-TSCT-1A1911.2,1A1911.2,Y-TSCT-Q02,1AA19,R312,T-HBFN4991-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,24704,V-XINX_03A-070506,1A,19,11,2,V-XINX_03A,7,5,6,1
26,25-03-05 1219,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2122413,Y-TSCT-1A1911.1,1A1911.1,Y-TSCT-Q02,1AA19,R312,T-TJCK6656-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,25804,V-XINX_03A-070606,1A,19,11,1,V-XINX_03A,7,6,6,1
27,25-03-05 1220,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1628821,Y-TSCT-1A1910.5,1A1910.5,Y-TSCT-Q02,1AA19,R312,T-HBFS1498-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22308,V-XINX_03A-050202,1A,19,10,5,V-XINX_03A,5,2,2,1
28,25-03-05 1222,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2859899,Y-TSCT-1A1908.5,1A1908.5,Y-TSCT-Q02,1AA19,R312,T-TJCK6933-3 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,18090,V-XINX_03A-070202,1A,19,8,5,V-XINX_03A,7,2,2,1
29,25-03-05 1224,UNIT_YARD_MOVE,LOAD,EXPRT,FBIU0015349,Y-TSCT-1A1910.4,1A1910.4,Y-TSCT-Q02,1AA19,R312,T-HBFS3471-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,24564,V-XINX_03A-050204,1A,19,10,4,V-XINX_03A,5,2,4,1
30,25-03-05 1225,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1328296,Y-TSCT-1A1910.3,1A1910.3,Y-TSCT-Q02,1AA19,R312,T-HBFU4752-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22365,V-XINX_03A-070204,1A,19,10,3,V-XINX_03A,7,2,4,1
31,25-03-05 1229,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1104531,Y-TSCT-1A1910.1,1A1910.1,Y-TSCT-Q02,1AA19,R312,T-HBFR4867-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,22380,V-XINX_03A-070106,1A,19,10,1,V-XINX_03A,7,1,6,1
32,25-03-05 1234,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2860159,Y-TSCT-1A1908.4,1A1908.4,Y-TSCT-Q02,1AA19,R312,T-TJCB1815-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,18242,V-XINX_03A-050406,1A,19,8,4,V-XINX_03A,5,4,6,1
33,25-03-05 1236,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU2431466,Y-TSCT-1A1908.3,1A1908.3,Y-TSCT-Q02,1AA19,R312,T-TJC91210-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,19168,V-XINX_03A-070406,1A,19,8,3,V-XINX_03A,7,4,6,1
34,25-03-05 1238,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2327000,Y-TSCT-1A1908.2,1A1908.2,Y-TSCT-Q02,1AA19,R312,T-TJCE2652-3 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,19645,V-XINX_03A-050608,1A,19,8,2,V-XINX_03A,5,6,8,1
35,25-03-05 1241,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1452293,Y-TSCT-1A1909.5,1A1909.5,Y-TSCT-Q02,1AA19,R312,T-TJCA8879-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,18200,V-XINX_03A-030106,1A,19,9,5,V-XINX_03A,3,1,6,1
36,25-03-05 1252,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU2228201,Y-TSCT-1A1909.4,1A1909.4,Y-TSCT-Q02,1AA19,R312,T-TJCK6321-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,17658,V-XINX_03A-010004,1A,19,9,4,V-XINX_03A,1,0,4,1
37,25-03-05 1253,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3763625,Y-TSCT-1A1909.3,1A1909.3,Y-TSCT-Q02,1AA19,R312,T-TJCH1320-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,18440,V-XINX_03A-030004,1A,19,9,3,V-XINX_03A,3,0,4,1
38,25-03-05 1257,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5748006,Y-TSCT-1A1909.1,1A1909.1,Y-TSCT-Q02,1AA19,R312,T-TJCA9739-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM86,NOM20,22G1,18580,V-XINX_03A-030008,1A,19,9,1,V-XINX_03A,3,0,8,1
39,25-03-05 0509,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU4745860,Y-TSCT-1A2410.5,1A2410.5,Y-TSCT-Q02,1AA24,R312,T-TJCK0125-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM96,NOM40,45G1,13460,V-XINX_03A-100782,1A,24,10,5,V-XINX_03A,10,7,82,1
40,25-03-05 0535,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU5458922,Y-TSCT-1A2409.5,1A2409.5,Y-TSCT-Q02,1AA24,R312,T-TJC16707-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM96,NOM40,45G1,15497,V-XINX_03A-100582,1A,24,9,5,V-XINX_03A,10,5,82,1
41,25-03-05 0538,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU7001101,Y-TSCT-1A2407.5,1A2407.5,Y-TSCT-Q02,1AA24,R312,T-TJA02741D-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM96,NOM40,45G1,30808,V-XINX_03A-100382,1A,24,7,5,V-XINX_03A,10,3,82,1
42,25-03-05 0540,UNIT_YARD_MOVE,LOAD,EXPRT,FBLU0105597,Y-TSCT-1A2407.4,1A2407.4,Y-TSCT-Q02,1AA24,R312,T-TJA02262D-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM96,NOM40,45G1,30808,V-XINX_03A-100182,1A,24,7,4,V-XINX_03A,10,1,82,1
43,25-03-05 0543,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU8121466,Y-TSCT-1A2407.3,1A2407.3,Y-TSCT-Q02,1AA24,R312,T-TJA05252D-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM96,NOM40,45G1,30808,V-XINX_03A-100082,1A,24,7,3,V-XINX_03A,10,0,82,1
44,25-03-05 0547,UNIT_YARD_MOVE,LOAD,EXPRT,HLHU8111413,Y-TSCT-1A2407.2,1A2407.2,Y-TSCT-Q02,1AA24,R312,T-TJA02361D-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM96,NOM40,45G1,30808,V-XINX_03A-100282,1A,24,7,2,V-XINX_03A,10,2,82,1
45,25-03-05 0555,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU8420425,Y-TSCT-1A2407.1,1A2407.1,Y-TSCT-Q02,1AA24,R312,T-TJA02361D-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM96,NOM40,45G1,30808,V-XINX_03A-100482,1A,24,7,1,V-XINX_03A,10,4,82,1
46,25-03-05 0557,UNIT_YARD_MOVE,LOAD,EXPRT,HLHU8323006,Y-TSCT-1A2408.5,1A2408.5,Y-TSCT-Q02,1AA24,R312,T-TJCH8671-2 (TQ),XINX_03A,KRPTK,CNTSN,NOM96,NOM40,45G1,17380,V-XINX_03A-100682,1A,24,8,5,V-XINX_03A,10,6,82,1
